Dog,Happiness,Group
1,2,No Belly Rubs
2,5,No Belly Rubs
3,2,No Belly Rubs
4,4,No Belly Rubs
5,3,No Belly Rubs
6,2,No Belly Rubs
7,3,No Belly Rubs
8,5,No Belly Rubs
9,4,No Belly Rubs
10,3,No Belly Rubs
11,6,No Belly Rubs
12,7,No Belly Rubs
13,4,5 Belly Rubs
14,6,5 Belly Rubs
15,5,5 Belly Rubs
16,4,5 Belly Rubs
17,5,5 Belly Rubs
18,6,5 Belly Rubs
19,5,5 Belly Rubs
20,7,5 Belly Rubs
21,6,5 Belly Rubs
22,3,5 Belly Rubs
23,7,5 Belly Rubs
24,6,5 Belly Rubs
25,9,10 Belly Rubs
26,5,10 Belly Rubs
27,7,10 Belly Rubs
28,6,10 Belly Rubs
29,7,10 Belly Rubs
30,4,10 Belly Rubs
31,6,10 Belly Rubs
32,7,10 Belly Rubs
33,7,10 Belly Rubs
34,6,10 Belly Rubs
35,9,10 Belly Rubs
36,5,10 Belly Rubs
